Computing Topics,Context Topics,Libraries Used,Language,Level,Last Updated,Resource Link,Source Institution
"string basics, find in string, string concatenation, functions",HTML tags,,Python,CS1,2023,https://colab.research.google.com/drive/1R29T5XfVEthAmdXKMz62wiaPQeP2w2Sj?authuser=2,Stony Brook University
"string basics, find in string, string concatenation, functions, case sensitive strings, conditional statements","encryption, decryption",,Python,CS1,2023,https://colab.research.google.com/drive/1R1cyCtIeHEZC152YV7IYfW0BXhcPLAwz?authuser=2,Stony Brook University
"functions, conditional statements, find in string, string basics",compute total weight of object,,Python,CS1,2023,https://colab.research.google.com/drive/1lrfV1u_Vvlb_iL7VxA4A4CG9ftik-9Tt?authuser=2,Stony Brook University
"string basics, functions, string parsing","encryption, decryption",,Python,CS1,2023,https://colab.research.google.com/drive/1lMtD3kcbviL1oRWvs60HGNUwMod8mHSM?authuser=2,Stony Brook University
"functions, find in string","decompose a URL, webpages",,Python,CS1,2023,https://colab.research.google.com/drive/1GHHNmuCXZdcTBlAM9SGNf_wyk1aaaJBK?authuser=2,Stony Brook University
"conditional statements, string parsing",decompose a US phone number,,Python,CS1,2023,https://colab.research.google.com/drive/1rDZ8CCcOjRq3bLZ1GcURprxN5ciLRsZO?authuser=2,Stony Brook University
"functions, find in string, conditional statements",finding love online,,Python,CS1,2023,https://colab.research.google.com/drive/1uLXF7l9uHADf4njs-JHPuZQWyfT0wYoJ?authuser=2,Stony Brook University
"functions, string basics, string parsing",word insertion,,Python,CS1,2023,https://colab.research.google.com/drive/13WreSwPato8fiqgVwx5M9RbLjjaUiY1j?authuser=2,Stony Brook University
"string parsing, string concatentation, functions","language formation, Pig Latin",,Python,CS1,2023,https://colab.research.google.com/drive/1NXJ3Q_FUiLSqpmQw_QOrna9z0mkAGjNf?authuser=2,Stony Brook University
"functions, string basics, conditional statements","US government, legislative action, Congress, US Constitution",,Python,CS1,2023,https://colab.research.google.com/drive/1z4iTLMUdipEkN_-TROf2vQabvUzJkFIp?authuser=2,Stony Brook University
"functions, conditional statements",car repair shop,,Python,CS1,2023,https://colab.research.google.com/drive/1dfqB7YaaGBmRmSR28X5M0p0eLcXZNa3L?authuser=2,Stony Brook University
"functions, conditional statements, case sensitivity, string concatenation, string parsing","Pig Latin, translation",,Python,CS1,2023,https://colab.research.google.com/drive/104rYzDS76j_8Bb-ektFHQiC-srSqQ01m?authuser=2,Stony Brook University
"functions, string parsing, string basics, conditional statements",Rickster encryption and decryption,,Python,CS1,2023,https://colab.research.google.com/drive/1-hWpHqvUlOjvUoFYse1tZzrrZsu9g812?authuser=2,Stony Brook University
"functions, conditional statements, string parsing, string basics, string concatenation","language modifier, institution culture",,Python,CS1,2023,https://colab.research.google.com/drive/1uWHdHpqBb2ke5hgJv7eE85hsgIl2Kmrq?authuser=2,Stony Brook University
"string basics, conditional statements, functions, case sensitivity, string parsing",word scrambler,,Python,CS1,2023,https://colab.research.google.com/drive/1YxEhdadB28M2VEHvrfCvn_duRFguLXQo?authuser=2,Stony Brook University
"functions, conditional statements, string basics, string concatenation","verb tense, lingustics",,Python,CS1,2023,https://colab.research.google.com/drive/1Dav47q_qyv-fmGsdM0DQwCyuQTjNWYzx?authuser=2,Stony Brook University
"functions, conditional statements, find in string, string basics, string parsing","organize volunteering event, event planning",,Python,CS1,2023,https://colab.research.google.com/drive/1beV4OFm9csAZ9bLtZm1CTpy6uC7w0eRg?authuser=2,Stony Brook University
"functions, conditional statements, find in string, string concatenation, string parsing",weather report prank,,Python,CS1,2023,https://colab.research.google.com/drive/1681uJfiqHm21SLK9xdNHQIG5986VB9XG?authuser=2,Stony Brook University
"functions, conditional statements, string parsing",credit card classification,,Python,CS1,2023,https://colab.research.google.com/drive/1IuBWa8x424Ok76XuUNTrSpaSbk8_9MgT?authuser=2,Stony Brook University
"functions, string basics, conditional statements, for loops",robots,,Python,CS1,2023,https://colab.research.google.com/drive/1PyhT4TEUyarE_6VrkCqaEF06OAg2sDRS?authuser=2,Stony Brook University
"functions, string basics, for loops","passwords, IT",,Python,CS1,2023,https://colab.research.google.com/drive/108zblOKusFzNBGVEJOLjDJ6uWyvzdEIz?authuser=2,Stony Brook University
"functions, string basics, for loops","Dance Dance Revolution, game",,Python,CS1,2023,https://colab.research.google.com/drive/1WX0eowUs3XNrqrsEUok0J18rhNaMQ3Gf?authuser=2,Stony Brook University
"functions, programmatic arithmetic, for loops",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1EATs9Kpb0_rEWa7ghaGn5TPHfv6g2FmF?authuser=2,Stony Brook University
"functions, for loops, string basics, conditional statements",word similarity,,Python,CS1,2023,https://colab.research.google.com/drive/1PZD0JAzspS1XqQdhDimdVgSz52wr9K_T?authuser=2,Stony Brook University
"functions, for loops, conditional statements","Dice Wars, games",,Python,CS1,2023,https://colab.research.google.com/drive/1wewqF23HP_wq7syhbjxajiKICJviG4AD?authuser=2,Stony Brook University
"functions, for loops, conditional statements, string concatenation","elementary education, math",,Python,CS1,2023,https://colab.research.google.com/drive/1fKXW_dTiSBz547HQwc3HZg7hxc8HFH1v?authuser=2,Stony Brook University
"functions, for loops, conditional statements, string concatenation",Unicode values,,Python,CS1,2023,https://colab.research.google.com/drive/1bgIEFx6oXNeJzBkf54spJaoG0Juthj1C?authuser=2,Stony Brook University
"functions, conditional statements, string basics, for loops",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/12CPqzr6gcXFGu8xXWF2xmo5aOIA1BIpA?authuser=2,Stony Brook University
"functions, conditional statements, string basics, for loops",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1b5RJkQEsZU_PTl8EE6pH3ZkNg5IbKAZS?authuser=2,Stony Brook University
"functions, conditional statements, string basics, for loops",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1-KNf9TV8LhqEXfS9qei66iEgIIS0AsIx?authuser=2,Stony Brook University
"functions, programmatic arithmetic, for loops, conditional statements","mathematical expressions, piecewise functions",,Python,CS1,2023,https://colab.research.google.com/drive/1Nr0x6IJ-PHdkIoddarZuyt2RKj7QAoW0?authuser=2,Stony Brook University
"functions, programmatic arithmetic, for loops",mathematical expressions,,Python,CS1,2023,https://colab.research.google.com/drive/1VRnKbUeLZ_1npIrVIPp39zxw2HBMQphS?authuser=2,Stony Brook University
"functions, conditional statements, string basics, for loops",password strength calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1LLRNfFGUmLSiz9AvJeewvDcke--WQFsu?authuser=2,Stony Brook University
"functions, conditional statements, string basics, for loops",password strength calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1qVob2pA7S6W0i-gM89G1sJUgMB-yEFAb?authuser=2,Stony Brook University
"functions, conditional statements, string basics, for loops",password strength calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1KSGuRW1oSKGHRONFJ1k9wYu5m8IC5gSQ?authuser=2,Stony Brook University
"string basics, functions, conditional statements, for loops",password strength calculator,string,Python,CS1,2023,https://colab.research.google.com/drive/14Z-EE8JxWaMzpMhGuAw42iB2pwpF3g5F?authuser=2,Stony Brook University
"functions, conditional statements, string basics, for loops",password strength calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1tE1A2f6Lvuw0PeNCEzGFriRLDTFisImP?authuser=2,Stony Brook University
"functions, for loops, conditional statements, lists, string concatenation, tuples","Robot Turtles, board game",copy,Python,CS1,2023,https://colab.research.google.com/drive/1mP5R_CLfoeUMKPcpuAngy6NylbWogHff?authuser=2,Stony Brook University
"functions, for loops, conditional statements, string concatenation","Rovarspraket, Swedish, word game, Pig Latin",,Python,CS1,2023,https://colab.research.google.com/drive/1AjThoDAoA1PskOlZI0ypnSdPv81nHjOt?authuser=2,Stony Brook University
"functions, for loops, string basics, conditional statements",encryption,,Python,CS1,2023,https://colab.research.google.com/drive/1EeouPjSA17UMwl9xoHqNSUzSAQTXizZr?authuser=2,Stony Brook University
"functions, for loops, string basics, conditional statements, string concatenation","computers, system logs",,Python,CS1,2023,https://colab.research.google.com/drive/1Gbu24xy5OUuLolJldjgKlF2JDbfxB9JL?authuser=2,Stony Brook University
"functions, for loops, conditional statements",robots,,Python,CS1,2023,https://colab.research.google.com/drive/1TBBBx1SUXGmLPR-JRq2PyzDPRhamJ4x8?authuser=2,Stony Brook University
